procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0   4352 1117552 984256 2957544    0    0     0   444 1628 1578  4  3 93  0  0 2021-11-09 10:25:36
 0  0   4352 1117048 984264 2958052    0    0     0  1360 3616 4754  9  6 85  1  0 2021-11-09 10:25:37
 0  0   4352 1117080 984264 2957988    0    0     0  1272 2698 3326  9  5 87  0  0 2021-11-09 10:25:38
 1  0   4352 1117048 984272 2957492    0    0     0   192 2311 2996  6  3 91  0  0 2021-11-09 10:25:39
 0  0   4352 1116796 984272 2957552    0    0     0   748 2345 2397  7  4 89  0  0 2021-11-09 10:25:40
 0  0   4352 1116828 984272 2957556    0    0     0   296 1610 1805  4  3 93  0  0 2021-11-09 10:25:41
 0  0   4352 1116632 984280 2957856    0    0     0  1252 2965 3554  9  6 84  1  0 2021-11-09 10:25:42
 0  0   4352 1115332 984280 2959112    0    0     0  1084 3901 4853 10  5 85  0  0 2021-11-09 10:25:43
 1  0   4352 1115836 984288 2958600    0    0     0   460 1594 1904  7  3 90  0  0 2021-11-09 10:25:44
 0  0   4352 1117128 984288 2957516    0    0     0   944 3170 3929  7  5 88  0  0 2021-11-09 10:25:45
 0  0   4352 1117136 984288 2957516    0    0     0   156 1586 1600  5  3 92  0  0 2021-11-09 10:25:46
 3  0   4352 1116640 984296 2957848    0    0     0  1380 3421 4505  9  6 84  1  0 2021-11-09 10:25:47
 0  0   4352 1116324 984296 2958100    0    0     0  1028 2533 3144  8  4 88  0  0 2021-11-09 10:25:48
 0  0   4352 1116228 984304 2957508    0    0     0   620 1767 1920  5  3 92  0  0 2021-11-09 10:25:49
 0  0   4352 1116040 984304 2957596    0    0     0   748 2497 2413  9  4 87  0  0 2021-11-09 10:25:50
 0  0   4352 1116040 984304 2957604    0    0     0   160 1675 1811  5  3 91  0  0 2021-11-09 10:25:51
 1  0   4352 1116104 984312 2957588    0    0     0   600 3020 3596  8  6 85  1  0 2021-11-09 10:25:52
 0  0   4352 1115852 984312 2958116    0    0     0   676 3508 4270 10  7 83  0  0 2021-11-09 10:25:53
 1  0   4352 1115852 984320 2958112    0    0     0   636 2639 2746  6  4 91  0  0 2021-11-09 10:25:54
 0  0   4352 1115348 984320 2957596    0    0     0   152 3141 3491  7  5 87  0  0 2021-11-09 10:25:55
 0  0   4352 1115600 984320 2957592    0    0     0   148 2024 2188  4  3 93  0  0 2021-11-09 10:25:56
 1  0   4352 1115376 984328 2957584    0    0     0   904 3124 3789 13  6 81  1  0 2021-11-09 10:25:57
 0  0   4352 1115156 984328 2958112    0    0     0   896 2944 3621  9  6 86  0  0 2021-11-09 10:25:58
 4  0   4352 1114868 984340 2958116    0    0     0   652 3530 3718  7  4 89  0  0 2021-11-09 10:25:59
 0  0   4352 1115428 984340 2957668    0    0     0  1052 2609 2486  8  4 88  0  0 2021-11-09 10:26:00
 0  0   4352 1115428 984340 2957696    0    0     0   448 2259 2371  5  3 92  0  0 2021-11-09 10:26:01
 2  0   4352 1114984 984340 2957556    0    0     0  1224 3401 4080 10  6 85  0  0 2021-11-09 10:26:02
 0  0   4352 1114260 984348 2959096    0    0     0   744 3254 4049 10  5 84  1  0 2021-11-09 10:26:03
 0  0   4352 1114308 984360 2959144    0    0     0    48 2759 2927  5  5 90  0  0 2021-11-09 10:26:04
 2  0   4352 1115696 984360 2957608    0    0     0   476 2845 3284  8  5 87  0  0 2021-11-09 10:26:05
